x,y,x,y
222.100,-195.988,224.406,-191.751
219.901,-194.737,222.2019275,-190.4935238
217.70145,-193.486725,219.997855,-189.2360476
215.502175,-192.2360875,217.7937825,-187.9785714
213.303,-190.985,215.590,-186.721
224.406,-191.751,215.590,-186.721
208.915,-187.485,208.929,-182.827
206.407,-187.620,206.4014016,-181.41288
203.96070066,-186.167376,203.8740512,-179.99891
201.51440132,-184.714552,201.3467008,-178.58494
199.06810198,-183.261728,198.8193504,-177.17097
196.62180264,-181.808904,196.292,-175.757
194.176,-180.356,194.012,-175.733
206.591,-182.996,208.929,-182.827
204.075456,-181.54338,206.4014016,-181.41288
201.559592,-180.09076,203.8740512,-179.99891
199.043728,-178.63814,201.3467008,-178.58494
196.527864,-177.18552,198.8193504,-177.17097
194.012,-175.733,196.292,-175.757
222.131,-196.041,232.458,-202.084
