PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10001,0,0,-0.3718,1.6074,0.416,0,0,0,0
10002,0,0,-0.372,1.6108,1.416,0,0,0,0
10003,0,0,-0.3723,1.6142,2.416,0,0,0,0
10004,0,0,-0.3725,1.6177,3.4159,0,0,0,0
10005,0,0,-0.3727,1.6211,4.4159,0,0,0,0
10006,0,0,-0.373,1.6245,5.4159,0,0,0,0
10007,0,0,-0.3732,1.6279,6.4159,0,0,0,0
10008,0,0,-0.3734,1.6313,7.4159,0,0,0,0
10009,0,0,-0.3736,1.6347,8.4159,0,0,0,0
10010,0,0,-0.3739,1.6381,9.4159,0,0,0,0
10011,0,0,-0.3741,1.6415,10.4159,0,0,0,0
10012,0,0,-0.3743,1.645,11.4159,0,0,0,0
10013,0,0,-0.3746,1.6484,12.4159,0,0,0,0
10014,0,0,-0.3748,1.6518,13.4159,0,0,0,0
10015,0,0,-0.375,1.6552,14.4159,0,0,0,0
10016,0,0,-0.3753,1.6586,15.4159,0,0,0,0
10017,0,0,-0.3755,1.662,16.4159,0,0,0,0
10018,0,0,-0.3757,1.6654,17.4159,0,0,0,0
10019,0,0,-0.376,1.6688,18.4159,0,0,0,0
10020,0,0,-0.3762,1.6723,19.4159,0,0,0,0
10021,0,0,-0.3764,1.6757,20.4158,0,0,0,0
10022,0,0,-0.3767,1.6791,21.4158,0,0,0,0
10023,0,0,-0.3769,1.6825,22.4158,0,0,0,0
10024,0,0,-0.3771,1.6859,23.4158,0,0,0,0
10025,0,0,-0.3774,1.6893,24.4158,0,0,0,0
10026,0,0,-0.3776,1.6927,25.4158,0,0,0,0
10027,0,0,-0.3778,1.6961,26.4158,0,0,0,0
