x,y,z,yaw,velocity,change_flag
1.3902,-2.5081,-0.2523,-0.0574,10.0000,0
2.3722,-2.5645,-0.4328,-0.0574,10.0000,0
3.3541,-2.6210,-0.6133,-0.0574,10.0000,0
4.3361,-2.6775,-0.7938,-0.0574,10.0000,0
5.3180,-2.7339,-0.9743,-0.0574,10.0000,0
6.3000,-2.7904,-1.1548,-0.0574,10.0000,0
7.2819,-2.8468,-1.3353,-0.0574,10.0000,0
8.2639,-2.9033,-1.5159,-0.0574,10.0000,0
9.2458,-2.9597,-1.6964,-0.0574,10.0000,0
10.2278,-3.0162,-1.8769,-0.0574,10.0000,0
11.2097,-3.0727,-2.0574,-0.0574,10.0000,0
12.1917,-3.1291,-2.2379,-0.0574,10.0000,0
13.1736,-3.1856,-2.4184,-0.0574,10.0000,0
14.1556,-3.2420,-2.5989,-0.0574,10.0000,0
14.6085,-3.2681,-2.6822,0.7223,10.0000,0
15.3516,-2.6133,-2.8201,0.7223,10.0000,0
16.0947,-1.9584,-2.9581,0.7223,10.0000,0
16.8378,-1.3036,-3.0960,0.7223,10.0000,0
17.5809,-0.6488,-3.2340,0.7223,10.0000,0
18.3240,0.0060,-3.3719,0.7223,10.0000,0
18.6722,0.3129,-3.4366,0.0835,10.0000,0
19.6518,0.3949,-3.6202,0.0835,10.0000,0
20.6314,0.4769,-3.8039,0.0835,10.0000,0
21.6109,0.5588,-3.9875,0.0835,10.0000,0
22.5905,0.6408,-4.1712,0.0835,10.0000,0
23.5701,0.7228,-4.3549,0.0835,10.0000,0
24.5496,0.8048,-4.5385,0.0835,10.0000,0
25.5292,0.8867,-4.7222,0.0835,10.0000,0
26.5088,0.9687,-4.9058,0.0835,10.0000,0
27.4883,1.0507,-5.0895,0.0835,10.0000,0
27.8922,1.0845,-5.1652,0.7224,10.0000,0
28.6313,1.7359,-5.3364,0.7224,10.0000,0
29.3705,2.3874,-5.5077,0.7224,10.0000,0
30.0448,2.9817,-5.6639,1.6584,10.0000,0
29.9573,3.9775,-5.6388,1.6584,10.0000,0
29.8698,4.9734,-5.6137,1.6584,10.0000,0
29.7823,5.9692,-5.5886,1.6584,10.0000,0
29.6948,6.9651,-5.5635,1.6584,10.0000,0
29.6073,7.9609,-5.5384,1.6584,10.0000,0
29.5198,8.9568,-5.5133,1.6584,10.0000,0
29.4323,9.9526,-5.4882,1.6584,10.0000,0
29.3448,10.9485,-5.4631,1.6584,10.0000,0
29.2573,11.9443,-5.4380,1.6584,10.0000,0
29.1698,12.9402,-5.4129,1.6584,10.0000,0
29.0823,13.9360,-5.3877,1.6584,10.0000,0
28.9948,14.9319,-5.3626,1.6584,10.0000,0
28.9073,15.9277,-5.3375,1.6584,10.0000,0
28.8198,16.9235,-5.3124,1.6584,10.0000,0
28.7323,17.9194,-5.2873,1.6584,10.0000,0
28.6448,18.9152,-5.2622,1.6584,10.0000,0
28.5573,19.9111,-5.2371,1.6584,10.0000,0
28.4698,20.9069,-5.2120,1.6584,10.0000,0
28.3823,21.9028,-5.1869,1.6584,10.0000,0
28.2948,22.8986,-5.1618,1.6584,10.0000,0
28.2073,23.8945,-5.1367,1.6584,10.0000,0
28.1198,24.8903,-5.1116,1.6584,10.0000,0
28.0323,25.8862,-5.0865,1.6584,10.0000,0
27.9448,26.8820,-5.0614,1.6584,10.0000,0
27.8573,27.8779,-5.0363,1.6584,10.0000,0
27.7698,28.8737,-5.0112,1.6584,10.0000,0
27.6823,29.8696,-4.9861,1.6584,10.0000,0
27.5948,30.8654,-4.9610,1.6584,10.0000,0
27.5073,31.8613,-4.9359,1.6584,10.0000,0
27.4198,32.8571,-4.9108,1.6584,10.0000,0
27.3323,33.8530,-4.8857,1.6584,10.0000,0
27.2448,34.8488,-4.8606,1.6584,10.0000,0
27.1573,35.8447,-4.8355,1.6584,10.0000,0
27.0698,36.8405,-4.8104,1.6584,10.0000,0
26.9823,37.8364,-4.7853,1.6584,10.0000,0
26.8948,38.8322,-4.7602,1.6584,10.0000,0
26.8073,39.8281,-4.7351,1.6584,10.0000,0
26.7198,40.8239,-4.7100,1.6584,10.0000,0
26.6323,41.8198,-4.6848,1.6584,10.0000,0
26.5448,42.8156,-4.6597,1.6584,10.0000,0
26.4573,43.8114,-4.6346,1.6584,10.0000,0
26.3698,44.8073,-4.6095,1.6584,10.0000,0
26.2823,45.8031,-4.5844,1.6584,10.0000,0
26.1948,46.7990,-4.5593,1.6584,10.0000,0
26.1073,47.7948,-4.5342,1.6584,10.0000,0
26.0198,48.7907,-4.5091,1.6584,10.0000,0
25.9323,49.7865,-4.4840,1.6584,10.0000,0
25.8448,50.7824,-4.4589,1.6584,10.0000,0
25.7573,51.7782,-4.4338,1.6584,10.0000,0
25.6698,52.7741,-4.4087,1.6584,10.0000,0
25.5823,53.7699,-4.3836,1.6584,10.0000,0
25.4948,54.7658,-4.3585,1.6584,10.0000,0
25.4073,55.7616,-4.3334,1.6584,10.0000,0
25.3198,56.7575,-4.3083,1.6584,10.0000,0
25.2323,57.7533,-4.2832,1.6584,10.0000,0
25.1448,58.7492,-4.2581,1.6584,10.0000,0
25.0573,59.7450,-4.2330,1.6584,10.0000,0
24.9698,60.7409,-4.2079,1.6584,10.0000,0
24.8823,61.7367,-4.1828,1.6584,10.0000,0
24.7948,62.7326,-4.1577,1.6584,10.0000,0
24.7073,63.7284,-4.1326,1.6584,10.0000,0
24.6198,64.7243,-4.1075,1.6584,10.0000,0
24.5323,65.7201,-4.0824,1.6584,10.0000,0
24.4448,66.7160,-4.0573,1.6584,10.0000,0
24.3573,67.7118,-4.0322,1.6584,10.0000,0
24.2698,68.7077,-4.0071,1.6584,10.0000,0
24.1823,69.7035,-3.9820,1.6584,10.0000,0
24.0948,70.6993,-3.9568,1.6584,10.0000,0
24.0073,71.6952,-3.9317,1.6584,10.0000,0
23.9198,72.6910,-3.9066,1.6584,10.0000,0
23.8323,73.6869,-3.8815,1.6584,10.0000,0
23.7448,74.6827,-3.8564,1.6584,10.0000,0
23.6573,75.6786,-3.8313,1.6584,10.0000,0
23.5698,76.6744,-3.8062,1.6584,10.0000,0
23.4823,77.6703,-3.7811,1.6584,10.0000,0
23.3948,78.6661,-3.7560,1.6584,10.0000,0
23.3073,79.6620,-3.7309,1.6584,10.0000,0
23.2198,80.6578,-3.7058,1.6584,10.0000,0
23.1323,81.6537,-3.6807,1.6584,10.0000,0
23.0447,82.6495,-3.6556,1.6584,10.0000,0
22.9572,83.6454,-3.6305,1.6584,10.0000,0
22.8697,84.6412,-3.6054,1.6584,10.0000,0
22.7822,85.6371,-3.5803,1.6584,10.0000,0
22.6947,86.6329,-3.5552,1.6584,10.0000,0
22.6072,87.6288,-3.5301,1.6584,10.0000,0
22.5197,88.6246,-3.5050,1.6584,10.0000,0
22.4322,89.6205,-3.4799,1.6584,10.0000,0
22.3447,90.6163,-3.4548,1.6584,10.0000,0
